Date,US-Mexico Border,North Africa,Sub-Saharan Africa,Mediterranean,Horn of Africa
3-Jun-18,1,2,4,11,0
4-Jun-18,4,2,0,0,0
5-Jun-18,1,0,3,0,0
6-Jun-18,1,0,0,0,62
7-Jun-18,3,0,3,0,0
8-Jun-18,2,0,1,1,0
9-Jun-18,1,2,2,2,1
10-Jun-18,1,0,5,4,0
11-Jun-18,2,7,7,2,0
12-Jun-18,1,6,1,76,0
13-Jun-18,5,3,3,0,0
14-Jun-18,1,0,0,1,0
15-Jun-18,1,0,0,4,0
16-Jun-18,1,7,12,0,0
17-Jun-18,7,0,3,44,0
18-Jun-18,3,0,3,5,0
19-Jun-18,2,0,0,171,0
20-Jun-18,1,1,1,51,0
21-Jun-18,4,5,0,26,0
22-Jun-18,2,6,4,0,1
23-Jun-18,4,0,5,0,0
24-Jun-18,1,2,6,12,5
25-Jun-18,1,0,2,0,0
26-Jun-18,4,4,0,0,0
27-Jun-18,4,1,0,0,0
28-Jun-18,0,0,0,0,0
29-Jun-18,1,0,0,104,1
30-Jun-18,2,5,0,0,6
1-Jul-18,1,1,0,114,0
2-Jul-18,0,0,2,0,0
3-Jul-18,1,0,0,7,0
4-Jul-18,0,1,9,0,0
5-Jul-18,1,0,3,9,0
6-Jul-18,4,2,3,0,0
7-Jul-18,2,2,3,0,0
8-Jul-18,1,1,0,0,0
9-Jul-18,2,0,1,0,0
10-Jul-18,0,2,0,0,1
11-Jul-18,0,2,2,0,0
12-Jul-18,0,0,1,2,0
13-Jul-18,0,0,0,4,0
14-Jul-18,0,1,2,0,1
15-Jul-18,3,1,0,17,0
16-Jul-18,0,9,2,0,0
17-Jul-18,0,4,0,3,0
18-Jul-18,1,2,0,44,2
19-Jul-18,1,2,0,2,5
20-Jul-18,2,0,0,3,0
21-Jul-18,2,7,0,0,9
22-Jul-18,2,2,0,0,0
23-Jul-18,2,3,1,0,1
24-Jul-18,4,1,1,10,1
25-Jul-18,0,1,0,2,1
26-Jul-18,1,2,0,0,0
27-Jul-18,0,3,0,0,1
28-Jul-18,1,2,1,0,4
29-Jul-18,0,4,0,6,0
30-Jul-18,4,8,1,1,2
31-Jul-18,1,1,2,0,1
1-Aug-18,39,3,1,0,0
2-Aug-18,1,1,1,0,3
3-Aug-18,1,0,3,0,1
4-Aug-18,0,2,1,0,0
5-Aug-18,2,2,3,0,0
6-Aug-18,1,4,1,0,0
7-Aug-18,1,0,0,2,0
8-Aug-18,2,1,0,0,0
9-Aug-18,0,0,0,9,2
10-Aug-18,1,0,7,13,0
11-Aug-18,0,4,0,0,0
12-Aug-18,1,3,0,0,0
13-Aug-18,1,3,3,0,0
14-Aug-18,1,1,0,0,1
15-Aug-18,2,2,0,0,0
16-Aug-18,1,4,0,0,0
17-Aug-18,3,2,1,8,1
18-Aug-18,3,0,0,0,0
19-Aug-18,4,0,1,0,2
20-Aug-18,0,1,2,9,1
21-Aug-18,3,1,2,0,0
22-Aug-18,0,3,0,2,0
23-Aug-18,1,7,1,0,2
24-Aug-18,2,2,0,2,0
25-Aug-18,1,3,0,0,0
26-Aug-18,1,1,0,0,0
27-Aug-18,2,0,0,0,1
28-Aug-18,4,1,0,0,2
