Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
45928,US-Mexico Border,15-Sep-18,2018,Sep,1,,1,,,1,,Drowning,"Río Bravo, near Bvd. Luis Donaldo Colosio and Calle Hidalgo, Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas, Milenio, Cambio Digital","27.496566919972, -99.491563561902",Central America to US,"https://bit.ly/2Nez7tH, https://bit.ly/2xn9TyE, https://bit.ly/2xct5jh",Central America,3
45929,Mediterranean,15-Sep-18,2018,Sep,1,,1,,,,,Drowning,"Body recovered in Playa Castell de Ferro, Gualchos, Granada, Spain","El País, Granada Hoy","36.722084353020, -3.357001443347",Western Mediterranean,"https://bit.ly/2MThY3S, https://bit.ly/2MPNWh6",Uncategorized,3
51325,Sub-Saharan Africa,15-Sep-18,2018,Sep,1,,1,,1,,,Uknown,"Abidjan, Cote d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4mi),"5.316667000000, -4.033333000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51326,Sub-Saharan Africa,15-Sep-18,2018,Sep,2,,2,,1,1,,Vehicle Accident,"Koubia, Guinea",Mixed Migration Monitoring Mechanism Initiative (4mi),"11.583333000000, -11.900000000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
45988,US-Mexico Border,14-Sep-18,2018,Sep,1,,1,,,,,Uknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.087759600000, -112.905880200000",Central America to US,http://www.humaneborders.info/,Northern America,5
51322,Sub-Saharan Africa,14-Sep-18,2018,Sep,1,,1,,,1,,Vehicle Accident,"Near Dar es Salaam, Tanzania",Mixed Migration Monitoring Mechanism Initiative (4mi),"-6.816579000000, 39.081499000000",,http://www.mixedmigration.org/4mi/,Eastern Africa,2
51323,Sub-Saharan Africa,14-Sep-18,2018,Sep,1,,1,,1,,,Sickness and lack of access to medicines,"Gao, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),"16.266667000000, -0.050000000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51324,Sub-Saharan Africa,14-Sep-18,2018,Sep,2,,2,,,2,1,Sickness and lack of access to medicines,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),"16.967643000000, 7.985137000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
45915,Mediterranean,13-Sep-18,2018,Sep,1,,1,,,1,,Drowning,"Body recovered near La Almadraba, Ceuta, Spain","Ceuta Actualidad, El Faro de Ceuta","35.915226361080, -5.269480794175",Western Mediterranean,"https://bit.ly/2Qqdrc3, https://bit.ly/2QYkgSr, https://bit.ly/2A071KB",Uncategorized,3
45918,Mediterranean,13-Sep-18,2018,Sep,3,,3,,1,1,,Drowning,"Bodies recovered near Beni Ensar, Nador province, Morocco","Melilla Hoy, Ali Zoubeidi vita Twitter","35.265581018218, -2.914681639551",Western Mediterranean,"https://bit.ly/2xdINuo, https://bit.ly/2p4e12C, https://bit.ly/2N9R8t4, https://bit.ly/2MtnZDX",Uncategorized,3
45987,US-Mexico Border,13-Sep-18,2018,Sep,1,,1,,,1,,Uknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.814667100000, -111.857700800000",Central America to US,http://www.humaneborders.info/,Northern America,5
